City_ID,City,Lat,Lng,Max Temp,Current Description,Rain (inches),Snow (inches),Humidity,Cloudiness,Wind Speed,Country
27,Punta Alta,-38.8759,-62.0736,84.65,clear sky,0.0,0.0,33,8,18.14,AR
28,Vaini,-21.2,-175.2,80.96,light rain,0.17,0.0,81,93,16.6,TO
29,Mar Del Plata,-38.0023,-57.5575,78.82,clear sky,0.0,0.0,50,0,11.99,AR
30,Mataura,-46.1927,168.8643,61.48,light rain,0.75,0.0,76,100,2.8,NZ
31,Dwarka,22.2394,68.9678,70.21,clear sky,0.0,0.0,46,0,11.16,IN
32,Port Hedland,-20.3167,118.5667,84.25,broken clouds,0.0,0.0,74,75,6.91,AU
33,Arlit,18.7369,7.3853,82.18,clear sky,0.0,0.0,7,2,4.79,NE
34,Provideniya,64.3833,-173.3,0.54,few clouds,0.0,0.0,91,12,3.94,RU
35,Talara,-4.5772,-81.2719,79.56,clear sky,0.0,0.0,61,0,9.22,PE
36,Longyearbyen,78.2186,15.6401,10.24,few clouds,0.0,0.0,61,20,17.27,SJ
37,Caucaia,-3.7361,-38.6531,87.08,light rain,0.26,0.0,70,75,12.66,BR
38,Tuktoyaktuk,69.4541,-133.0374,-9.4,light snow,0.0,0.0,77,100,17.27,CA
39,Fukue,32.6881,128.8419,46.51,broken clouds,0.0,0.0,52,78,12.15,JP
40,Upernavik,72.7868,-56.1549,7.99,overcast clouds,0.0,0.0,88,100,20.42,GL
41,Oksbol,55.6268,8.2876,48.81,overcast clouds,0.0,0.0,81,100,46.13,DK
42,Carnarvon,-24.8667,113.6333,77.07,clear sky,0.0,0.0,88,0,8.05,AU
43,Port-Gentil,-0.7193,8.7815,85.96,scattered clouds,0.0,0.0,74,40,10.36,GA
44,Kodiak,57.79,-152.4072,27.91,light snow,0.0,0.0,69,100,21.85,US
45,Gimli,50.6336,-96.9907,12.22,overcast clouds,0.0,0.0,79,100,4.61,CA
46,Encruzilhada Do Sul,-30.5439,-52.5219,77.72,clear sky,0.0,0.0,39,5,11.25,BR
47,Yellowknife,62.456,-114.3525,-8.45,light snow,0.0,0.0,92,100,5.75,CA
48,Cape Town,-33.9258,18.4232,74.08,clear sky,0.0,0.0,60,0,7.0,ZA
49,Malanje,-9.5402,16.341,73.4,overcast clouds,0.0,0.0,71,100,7.34,AO
50,Sorland,67.667,12.6934,37.26,overcast clouds,0.0,0.0,94,99,15.66,NO
51,Nikolskoye,59.7035,30.7861,26.71,overcast clouds,0.0,0.0,94,100,7.99,RU
52,Nanortalik,60.1432,-45.2371,24.4,overcast clouds,0.0,0.0,84,100,14.0,GL
53,Atuona,-9.8,-139.0333,76.73,clear sky,0.0,0.0,76,0,12.21,PF
54,Bredasdorp,-34.5322,20.0403,80.28,clear sky,0.0,0.0,57,0,16.11,ZA
55,Altea,38.5989,-0.0514,68.77,clear sky,0.0,0.0,37,0,4.23,ES
56,Muros,42.7762,-9.0603,68.68,clear sky,0.0,0.0,38,5,3.78,ES
57,Sambava,-14.2667,50.1667,80.13,broken clouds,0.0,0.0,77,78,8.68,MG
58,Narsaq,60.9167,-46.05,21.42,overcast clouds,0.0,0.0,95,100,8.95,GL
59,Tuatapere,-46.1333,167.6833,61.83,light rain,0.53,0.0,78,100,5.37,NZ
60,Umm Lajj,25.0213,37.2685,67.66,clear sky,0.0,0.0,40,0,15.93,SA
61,Ayan,56.45,138.1667,0.28,overcast clouds,0.0,0.0,86,100,16.78,RU
62,Tanda,26.55,82.65,53.78,clear sky,0.0,0.0,64,0,7.23,IN
63,Umba,66.6871,34.3429,11.01,broken clouds,0.0,0.0,98,78,4.85,RU
64,Kulaman,6.4594,124.0892,79.39,scattered clouds,0.0,0.0,83,36,1.12,PH
65,Kysyl-Syr,63.8986,122.7617,-14.94,overcast clouds,0.0,0.0,100,100,3.94,RU
66,Bure,10.7,37.0667,74.41,broken clouds,0.0,0.0,26,55,4.7,ET
67,Zhaoyuan,37.3592,120.3964,26.6,broken clouds,0.0,0.0,61,65,2.48,CN
68,Rundu,-17.9333,19.7667,76.75,light rain,0.51,0.0,69,100,4.45,NA
69,New Norfolk,-42.7826,147.0587,61.92,few clouds,0.0,0.0,97,12,0.47,AU
70,Georgetown,5.4112,100.3354,84.15,few clouds,0.0,0.0,78,20,6.91,MY
71,Saskylakh,71.9167,114.0833,-18.13,overcast clouds,0.0,0.0,97,87,4.07,RU
72,Udachnyy,66.4167,112.4,-22.81,scattered clouds,0.0,0.0,100,43,3.38,RU
73,Komsomolskiy,40.4272,71.7189,38.12,fog,0.0,0.0,87,75,2.3,UZ
74,Qui Nhon,13.7667,109.2333,73.56,broken clouds,0.0,0.0,87,62,5.68,VN
75,Hilo,19.7297,-155.09,66.79,broken clouds,0.0,0.0,75,75,6.91,US
76,Port Alfred,-33.5906,26.891,72.84,few clouds,0.0,0.0,64,21,14.54,ZA
77,Itamarandiba,-17.8572,-42.8589,81.73,broken clouds,0.0,0.0,52,67,6.29,BR
78,Bose,45.4612,8.0137,51.48,clear sky,0.0,0.0,45,2,2.91,IT
79,Hobart,-42.8794,147.3294,62.26,overcast clouds,0.0,0.0,77,100,1.01,AU
80,Bunda,-2.05,33.8667,76.84,overcast clouds,0.0,0.0,56,99,7.09,TZ
81,Cherskiy,68.75,161.3,-25.17,scattered clouds,0.0,0.0,100,35,3.6,RU
82,Sorong,-0.8833,131.25,81.48,light rain,0.15,0.0,77,66,10.16,ID
83,Yulara,-25.2406,130.9889,82.24,overcast clouds,0.0,0.0,61,91,17.27,AU
84,Santa Isabel,-23.3156,-46.2214,72.66,overcast clouds,0.0,0.0,96,100,2.84,BR
85,Kaitangata,-46.2817,169.8464,54.86,moderate rain,1.11,0.0,78,100,4.59,NZ
86,Korla,41.7597,86.1469,24.8,broken clouds,0.0,0.0,57,71,7.25,CN
87,Eten,-6.9081,-79.8642,82.65,clear sky,0.0,0.0,54,0,2.3,PE
88,Thompson,55.7435,-97.8558,-11.04,few clouds,0.0,0.0,77,20,2.3,CA
89,Siniscola,40.5719,9.6922,56.75,clear sky,0.0,0.0,40,0,5.41,IT
90,Riesi,37.2819,14.0823,50.4,broken clouds,0.0,0.0,43,71,12.97,IT
91,Muisne,0.6,-80.0333,80.71,overcast clouds,0.0,0.0,83,91,1.45,EC
92,Naze,28.3667,129.4833,55.4,overcast clouds,0.0,0.0,85,100,11.56,JP
93,Vila Velha,-20.3297,-40.2925,89.55,few clouds,0.0,0.0,63,20,11.01,BR
94,Jalu,29.0331,21.5482,60.12,clear sky,0.0,0.0,36,5,16.49,LY
95,Ust-Kishert,57.3654,57.2495,3.69,overcast clouds,0.0,0.0,99,92,4.23,RU
96,Haifa,32.8156,34.9892,54.01,broken clouds,0.0,0.0,79,75,3.44,IL
97,Katherine,-14.4667,132.2667,80.92,moderate rain,1.07,0.0,78,95,11.5,AU
98,Chumikan,54.7183,135.315,-3.05,overcast clouds,0.0,0.0,91,100,19.24,RU
99,Kota Bahru,6.1333,102.2386,76.95,few clouds,0.0,0.0,88,20,0.0,MY
100,Airai,-8.9266,125.4092,60.84,overcast clouds,0.0,0.0,85,100,3.29,TL
101,Karratha,-20.7377,116.8463,82.42,scattered clouds,0.0,0.0,65,48,16.53,AU
102,Amazar,53.858,120.875,-9.36,clear sky,0.0,0.0,95,5,4.14,RU
103,Novonikolayevskiy,50.9738,42.3649,32.79,overcast clouds,0.0,0.0,95,100,8.88,RU
104,Punta Arenas,-53.15,-70.9167,59.02,broken clouds,0.0,0.0,62,75,19.57,CL
105,Pangnirtung,66.1451,-65.7125,-16.6,light snow,0.0,0.0,76,100,12.66,CA
106,Port Keats,-14.25,129.55,81.7,moderate rain,1.22,0.0,86,100,19.69,AU
107,Diego De Almagro,-26.3667,-70.05,72.5,clear sky,0.0,0.0,34,0,7.99,CL
108,Necochea,-38.5473,-58.7368,87.04,clear sky,0.0,0.0,40,0,11.83,AR
109,Bengkulu,-3.8004,102.2655,77.99,overcast clouds,0.0,0.0,86,100,2.93,ID
110,Burnie,-41.0667,145.9167,61.95,overcast clouds,0.0,0.0,97,98,5.21,AU
111,Puerto Ayora,-0.7393,-90.3518,78.76,broken clouds,0.0,0.0,77,71,8.03,EC
112,Westport,41.1415,-73.3579,22.37,fog,0.0,0.56,89,100,5.01,US
113,Mulanje,-16.0316,35.5,78.22,light rain,0.52,0.0,82,14,3.11,MW
114,Saint-Philippe,-21.3585,55.7679,81.99,broken clouds,0.0,0.0,85,59,8.59,RE
115,Birakan,49.0167,131.7,-23.39,few clouds,0.0,0.0,99,21,3.02,RU
116,Padang,-0.9492,100.3543,78.8,moderate rain,3.65,0.0,86,84,1.97,ID
117,Wanning,18.8003,110.3967,66.6,broken clouds,0.0,0.0,87,81,11.59,CN
118,Klaksvik,62.2266,-6.589,36.52,overcast clouds,0.0,0.0,69,87,48.47,FO
119,Acapulco,16.8634,-99.8901,78.62,broken clouds,0.0,0.0,65,75,6.91,MX
120,Auki,-8.7676,160.7034,77.54,light rain,0.34,0.0,87,74,5.06,SB
121,Souillac,-20.5167,57.5167,82.78,light rain,0.21,0.0,78,40,9.22,MU
122,Albufeira,37.0882,-8.2503,64.24,overcast clouds,0.0,0.0,52,93,16.15,PT
123,Mae Sai,20.4335,99.8762,65.52,clear sky,0.0,0.0,51,0,2.91,TH
124,Najran,17.4924,44.1277,74.05,clear sky,0.0,0.0,25,5,3.0,SA
125,Bambous Virieux,-20.3428,57.7575,82.65,light rain,0.28,0.0,78,40,9.22,MU
126,Bethel,41.3712,-73.414,21.11,haze,0.0,0.45,82,100,12.66,US
127,San Patricio,28.017,-97.5169,52.83,scattered clouds,0.0,0.0,43,28,2.46,US
128,Port Macquarie,-31.4333,152.9167,69.76,broken clouds,0.0,0.0,85,66,5.97,AU
129,Murray Bridge,-35.1167,139.2667,72.46,clear sky,0.0,0.0,78,0,6.64,AU
130,Barrow,71.2906,-156.7887,-9.38,scattered clouds,0.0,0.0,70,40,11.5,US
131,Chuy,-33.6971,-53.4616,74.88,broken clouds,0.0,0.0,60,54,6.8,UY
132,Caceres,39.522,-6.3748,61.81,clear sky,0.0,0.0,30,0,9.06,ES
133,Kaduy,59.2,37.15,15.84,overcast clouds,0.0,0.0,96,98,3.31,RU
